,Row ID,Ship Date,Product ID,Category,Sub-Category,Product Name,Sales
0,1,11/11/2017,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
1,2,11/11/2017,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
2,3,16/06/2017,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
3,4,18/10/2016,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
4,5,18/10/2016,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368000000000002
5,6,14/06/2015,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
6,7,14/06/2015,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28
7,8,14/06/2015,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.1519999999999
8,9,14/06/2015,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
9,10,14/06/2015,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
10,11,14/06/2015,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184
11,12,14/06/2015,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424
12,13,20/04/2018,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552
13,14,10/12/2017,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
14,15,26/11/2016,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
15,16,26/11/2016,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
16,17,18/11/2015,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
17,18,15/05/2015,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
18,19,01/09/2015,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56
19,20,01/09/2015,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48
20,21,01/09/2015,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
21,22,13/12/2017,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46
22,23,13/12/2017,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
23,24,18/07/2018,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
24,25,30/09/2016,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
25,26,20/01/2017,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
26,27,20/01/2017,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
27,28,21/09/2016,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
28,29,21/09/2016,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
29,30,21/09/2016,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
30,31,21/09/2016,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
31,32,21/09/2016,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
32,33,21/09/2016,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
33,34,21/09/2016,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76
34,35,23/10/2018,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.471999999999998
35,36,10/12/2017,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.5439999999999
36,37,10/12/2017,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
37,38,31/12/2016,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.32799999999999
38,39,31/12/2016,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
39,40,31/12/2016,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
40,41,31/12/2016,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
41,42,15/09/2018,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168
42,43,22/07/2017,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
43,44,23/09/2018,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
44,45,13/03/2017,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
45,46,13/03/2017,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
46,47,25/10/2015,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
47,48,25/06/2017,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0
